Title,Brand,Series,CPU,GPU,RAM,Storage,Display,Weight,OS,Price(Rs),Original Price(Rs),Discount Percentage,Rating,Review Count,Specs Raw,Product URL,RAM_GB,Storage_GB,Display_inches,Weight_KG
"MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/512 GB SSD/Windows 11 Home) 14IRH10R Thin and Light Laptop (14 Inch, PANTONE Bronze Green, 1.4 Kg, With MS Office)",Motorola,,i7,,16 gb,512 gb,14 inch,1.4 kg,windows 11,57990.0,104890.0,44.0,4.4,75.0,Intel Core 7 (Series 2) Processor | 16 GB DDR5 RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Office Home 2024 | 1 Year Onsite Warranty,https://www.flipkart.com/motorola-motobook-60-full-metal-oled-i7-14th-gen-intel-core-7-series-2-240h-16-gb-512-gb-ssd-windows-11-home-14irh10r-thin-light-laptop/p/itm96df72a170b7f?pid=COMHAUZWRPCKAGKZ&lid=LSTCOMHAUZWRPCKAGKZOGJOIN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_12_277&otracker=search&fm=organic&iid=en_w7YTpXD5Q7MhuWuilWs6yeCT5Rf7EcyMctYgmF7Yx9BYMYS0npdZiWsaOx7TfgH52vPMNHEYgO6mIWyvjLU8bfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=kqvciqg9280000001765368706143&qH=c06ea84a1e3dc3c6,16.0,512.0,14.0,1.4
"Lenovo IdeaPad Slim 5 WUXGA OLED Full Metal Body Intel Core i5 13th Gen 13420H - (16 GB/1 TB SSD/Windows 11 Home) Slim 5 Thin and Light Laptop (14 inch, Luna Grey, 1.39 Kg, With MS Office)",Lenovo,ideapad,intel core i5 13th gen 13420h,,16 gb,1 tb,14 inch,1.39 kg,windows 11,65990.0,97290.0,32.0,4.6,3.0,Intel Core i5 Processor (13th Gen) | 16 GB DDR5 RAM | Windows 11 Home Operating System | 1 TB SSD | 35.56 cm (14 inch) Display | Office Home 2024 | 1 Year Carry-in Warranty,https://www.flipkart.com/lenovo-ideapad-slim-5-wuxga-oled-full-metal-body-intel-core-i5-13th-gen-13420h-16-gb-1-tb-ssd-windows-11-home-thin-light-laptop/p/itm1df1fe93dcbfd?pid=COMHAF73KBHEEFJS&lid=LSTCOMHAF73KBHEEFJS6PPM9N&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_12_278&otracker=search&fm=organic&iid=en_w7YTpXD5Q7MhuWuilWs6yeCT5Rf7EcyMctYgmF7Yx9AwF-dywk95c-ngty0kWeNgsKJSFN_8qRcApQ3mQbDClPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=kqvciqg9280000001765368706143&qH=c06ea84a1e3dc3c6,16.0,1024.0,14.0,1.39
"Acer Acer Aspire Lite AL15-53 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) AL15-53 Notebook (15.6 inch, Steel Gray, 1.75 kg)",Acer,aspire,intel core i3 13th gen 1305u,,8 gb,512 gb,15.6 inch,1.75 kg,windows 11,32990.0,49990.0,34.0,4.2,18.0,Intel Core i3 Processor (13th Gen) | 8 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 inch) Display | 1 YEAR,https://www.flipkart.com/acer-aspire-lite-al15-53-intel-core-i3-13th-gen-1305u-8-gb-512-gb-ssd-windows-11-home-notebook/p/itma0128e7d1fb8d?pid=COMH6J6XQPYCFTEG&lid=LSTCOMH6J6XQPYCFTEGKVVPG3&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_12_279&otracker=search&fm=organic&iid=70870cc9-fb3b-4a93-995a-1fad0e8975de.COMH6J6XQPYCFTEG.SEARCH&ppt=sp&ppn=sp&ssid=kqvciqg9280000001765368706143&qH=c06ea84a1e3dc3c6,8.0,512.0,15.6,1.75
"DELL 14 Next Gen AI PC Backlit Keyboard, Fingerprint reader Intel Core Ultra 5 226V - (16 GB/512 GB SSD/Windows 11 Home) DB14250 / 14 Plus 2 in 1 DB04250 Thin and Light Laptop (14 Inch, Ice Blue, 1.61 Kg, With MS Office)",Dell,,intel core ultra 5 226v,,16 gb,512 gb,14 inch,1.61 kg,windows 11,84990.0,102656.0,17.0,4.4,2.0,Intel Core Ultra 5 Processor | 16 GB LPDDR5X RAM | Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Touchscreen Display | 1 Year Onsite Warranty,https://www.flipkart.com/dell-14-next-gen-ai-pc-backlit-keyboard-fingerprint-reader-intel-core-ultra-5-226v-16-gb-512-gb-ssd-windows-11-home-db14250-plus-2-1-db04250-thin-light-laptop/p/itmd5a3fea5e96f8?pid=COMHDGD5HGDVUX9R&lid=LSTCOMHDGD5HGDVUX9RPSVW5T&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_12_280&otracker=search&fm=organic&iid=70870cc9-fb3b-4a93-995a-1fad0e8975de.COMHDGD5HGDVUX9R.SEARCH&ppt=sp&ppn=sp&ssid=kqvciqg9280000001765368706143&qH=c06ea84a1e3dc3c6,16.0,512.0,14.0,1.61
"Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 83ER00KSIN Thin and Light Laptop (15.6 inch, Arctic Grey, With MS Office)",Lenovo,ideapad,intel core i5 12th gen 12450h,,16 gb,512 gb,15.6 inch,,windows 11,46990.0,70990.0,33.0,4.2,31.0,Intel Core i5 Processor (12th Gen) | 16 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 inch) Display | 1 Year Warranty,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-83er00ksin-thin-light-laptop/p/itm88613b4717866?pid=COMHCYGTDF5GYHFX&lid=LSTCOMHCYGTDF5GYHFXGCWAY7&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_12_281&otracker=search&fm=organic&iid=en_w7YTpXD5Q7MhuWuilWs6yeCT5Rf7EcyMctYgmF7Yx9BL9k5BVmCuufQSFHGVp_qqZi0qNlNVXK-Ov4MoHfRyFPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=kqvciqg9280000001765368706143&qH=c06ea84a1e3dc3c6,16.0,512.0,15.6,1.5
"MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/1 TB SSD/Windows 11 Home) 14IRH10R Thin and Light Laptop (14 Inch, PANTONE Wedgewood, 1.4 Kg, With MS Office)",Motorola,,i7,,16 gb,1 tb,14 inch,1.4 kg,windows 11,61990.0,110490.0,43.0,4.4,75.0,Intel Core 7 (Series 2) Processor | 16 GB DDR5 RAM | 64 bit Windows 11 Operating System | 1 TB SSD | 35.56 cm (14 Inch) Display | Office Home 2024 | 1 Year Onsite Warranty,https://www.flipkart.com/motorola-motobook-60-full-metal-oled-i7-14th-gen-intel-core-7-series-2-240h-16-gb-1-tb-ssd-windows-11-home-14irh10r-thin-light-laptop/p/itme38d212ff500c?pid=COMHAUZWZGRD8HHC&lid=LSTCOMHAUZWZGRD8HHCQXWCOA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_12_282&otracker=search&fm=organic&iid=en_w7YTpXD5Q7MhuWuilWs6yeCT5Rf7EcyMctYgmF7Yx9BcfvBv6I9dgZ4ZJ-rX6BumbYZk1v4Im0OWTH7SeQ_s4_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=kqvciqg9280000001765368706143&qH=c06ea84a1e3dc3c6,16.0,1024.0,14.0,1.4
"HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0129TU / 15-fd0568TU Thin and Light Laptop (15.6 inch, Natural Silver, 1.59 kg, With MS Office)",Hp,,intel core i3 13th gen 1315u,,8 gb,512 gb,15.6 inch,1.59 kg,windows 11,35790.0,61810.0,42.0,4.2,132.0,Intel Core i3 Processor (13th Gen) | 8 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 inch) Display | 1 Year Carry-in Warranty,https://www.flipkart.com/hp-laptop-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-15-fd0129tu-15-fd0568tu-thin-light/p/itmcf7c16556a324?pid=COMHF6WAGPZCBQVZ&lid=LSTCOMHF6WAGPZCBQVZNIJVDI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_12_283&otracker=search&fm=organic&iid=70870cc9-fb3b-4a93-995a-1fad0e8975de.COMHF6WAGPZCBQVZ.SEARCH&ppt=sp&ppn=sp&ssid=kqvciqg9280000001765368706143&qH=c06ea84a1e3dc3c6,8.0,512.0,15.6,1.59
"DELL 15 (Core i3 14th Gen) Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) DC15250 Thin and Light Laptop (15 inch, Carbon Black, 1.63 Kg, With MS Office)",Dell,,i3,,8 gb,512 gb,15 inch,1.63 kg,windows 11,35990.0,47877.0,24.0,,,Intel Core 3 Processor | 8 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 38.1 cm (15 inch) Display | 1 Year Onsite Hardware Service,https://www.flipkart.com/dell-15-core-i3-14th-gen-intel-core-3-100u-8-gb-512-gb-ssd-windows-11-home-dc15250-thin-light-laptop/p/itmdbb97bc672577?pid=COMHFSGXNDCHA5QN&lid=LSTCOMHFSGXNDCHA5QNFRMMS5&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_12_284&otracker=search&fm=organic&iid=70870cc9-fb3b-4a93-995a-1fad0e8975de.COMHFSGXNDCHA5QN.SEARCH&ppt=sp&ppn=sp&ssid=kqvciqg9280000001765368706143&qH=c06ea84a1e3dc3c6,8.0,512.0,15.0,1.63
"Apple MacBook Air M4 - (16 GB/512 GB SSD/macOS Sequoia) MW103HN/A (13.6 inch, Starlight, 1.24 kg)",Apple,macbook,apple m4,,16 gb,512 gb,13.6 inch,1.24 kg,mac os,103490.0,119900.0,,4.7,136.0,"Apple M4 Processor | 16 GB Unified Memory RAM | Mac OS Operating System | 512 GB SSD | 34.54 cm (13.6 inch) Display | Built-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, iPhone Mirroring, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Passwords, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Stocks, Time Machine, Tips, TV, Voice Memos, Weather | 1 Year Limited Warranty",https://www.flipkart.com/apple-macbook-air-m4-16-gb-512-gb-ssd-macos-sequoia-mw103hn-a/p/itmc2cfaee6a7b6e?pid=COMH9ZWQKQ5D3ZED&lid=LSTCOMH9ZWQKQ5D3ZEDKELRCZ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_12_285&otracker=search&fm=organic&iid=70870cc9-fb3b-4a93-995a-1fad0e8975de.COMH9ZWQKQ5D3ZED.SEARCH&ppt=sp&ppn=sp&ssid=kqvciqg9280000001765368706143&qH=c06ea84a1e3dc3c6,16.0,512.0,13.6,1.24
"ASUS Zenbook A14 OLED (2025), MSO 2024 + M365 Basic, Metal Body, Backlit Keyboard, Qualcomm Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) UX3407QA-QD258WS Thin and Light Laptop (14 Inch, Zabriskie Beige, 0.98 Kg, With MS Office)",Asus,zenbook,snapdragon x,,16 gb,512 gb,14 inch,0.98 kg,windows 11,76990.0,122990.0,37.0,3.9,1.0,"Qualcomm Snapdragon X Processor | 16 GB LPDDR5X RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee 1 year | 1 Year Onsite Warranty",https://www.flipkart.com/asus-zenbook-a14-oled-2025-mso-2024-m365-basic-metal-body-backlit-keyboard-qualcomm-snapdragon-x-16-gb-512-gb-ssd-windows-11-home-ux3407qa-qd258ws-thin-light-laptop/p/itm6a33abcf085c4?pid=COMH9499G7K92GDJ&lid=LSTCOMH9499G7K92GDJPK54GM&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_12_286&otracker=search&fm=organic&iid=70870cc9-fb3b-4a93-995a-1fad0e8975de.COMH9499G7K92GDJ.SEARCH&ppt=sp&ppn=sp&ssid=kqvciqg9280000001765368706143&qH=c06ea84a1e3dc3c6,16.0,512.0,14.0,0.98
